FIO /map/stars  |  698 stars  |  live pull
GY-694 (Othrys)                   K         0.3134063004116616     1.7318733782415332e+30  0.8707256803627619 
GY-811                            G         0.9892666863422133     1.967879446723917e+30   0.9893813206253983 
GY-919                            M         0.002043470759684127   5.708229141173777e+29   0.2869899015170325 
GY-986                            M         0.002068598466565924   6.236471188481746e+29   0.31354807383015315
HM-049 (Mount Olympus)            K         0.31044642221132346    1.6670658976534805e+30  0.8381427338629868 
HM-223 (Gateway)                  K         0.2865689017546788     1.5735952617351148e+30  0.7911489500930693 
HM-301                            K         0.2932408741660571     1.7192473029039544e+30  0.8643777289612642 
HM-365                            K         0.29858312195370373    1.5100692340158646e+30  0.7592102735122497 
HM-517                            G         0.9878887710774459     1.9758326199588871e+30  0.9933798994262882 
HM-910                            G         1.0242142412962312     2.052019035651529e+30   1.0316837786081092 
HP-242                            G         0.9940844865077376     2.001057846642936e+30   1.006062265783276  
HP-454                            G         0.9828942054663993     2.177773159989362e+30   1.0949085771691112 
HP-933                            G         1.0271073532033534     1.8526555845282583e+30  0.9314507715074201 
HP-937                            K         0.311920977067252      1.659802829436009e+30   0.8344911158552082 
HV-029                            M         0.0019764044730760733  5.706937495898947e+29   0.2869249620864227 
HV-194                            G         0.9965062328142272     1.9946502630795753e+30  1.0028407556961163 
HV-322                            K         0.2978395144936718     1.7043742660359101e+30  0.856900083477079  
HV-472                            K         0.30712045960476436    1.5362205363069028e+30  0.772358238465009  
HV-512                            G         1.0146198036767977     2.1428850842257684e+30  1.0773680664785161 
HV-594                            K         0.297259067515609      1.6673724925319295e+30  0.8382968791010204 
HV-780                            K         0.2956938508987539     1.7062895302601173e+30  0.8578630116943778 
HV-813                            M         0.0019141515436866324  6.264608780873813e+29   0.3149627340811369 
HY-239                            G         1.0144972430368913     1.8926150530284332e+30  0.9515410020253561 
HY-393                            M         0.0019345607034661366  5.673475698600157e+29   0.2852426193363578 
HY-456                            G         1.0288517018760015     2.1242139090394655e+30  1.0679808491902794 
HY-608                            G         0.9947202970795345     2.0295329413683483e+30  1.0203785527241571 
HY-784                            M         0.0020158322912311277  5.5423775997632715e+29  0.2786514630348553 
HY-865                            M         0.002046906026387646   6.012033292408039e+29   0.30226411726536145
HY-976                            M         0.0020575511531574246  5.3836802507306934e+29  0.2706727124550374 
IA-093                            K         0.30278860615352116    1.538655731132498e+30   0.7735825696995968 
IA-151                            K         0.3013461351472592     1.6299947075141693e+30  0.8195046292177826 
IA-158 (Amethyst)                 M         0.0019372788107364519  6.099712527231633e+29   0.30667232414437573
IA-335                            M         0.002092978307182497   5.38703625177826e+29    0.2708414405117275 
IA-603                            K         0.30689584435834655    1.5721137489780634e+30  0.7904040970226563 
IA-982                            F         4.432841018096406      2.9275499859683766e+30  1.471870279521557  
IC-012                            M         0.002067187339789244   6.476653269266935e+29   0.3256235932260903 
IC-162                            K         0.2985006923046735     1.5426132521443617e+30  0.7755722735768535 
IC-259                            M         0.0019709374141210997  6.084600784881597e+29   0.30591255831481134
IC-530                            K         0.3114316052363288     1.6694684377641096e+30  0.8393506474429913 
IC-548                            G         1.0450966963420343     1.9500639114761482e+30  0.9804242893293859 
IC-685                            M         0.001933985221485002   5.8066704752314176e+29  0.29193918930273594
IC-748                            G         0.9929820992498444     2.1271351888021887e+30  1.0694495670197028 
IC-945                            A         24.99280548773737      4.754951658158929e+30   2.390624262523343  
IV-102                            M         0.002034102970807132   6.231182681634992e+29   0.31328218610532893
IV-313                            K         0.2887888491556625     1.4669205610483629e+30  0.7375166219448783 
IV-524                            K         0.30842759367681055    1.588762095495079e+30   0.7987743064329207 
IV-543                            M         0.0019147032743185761  5.472098967524971e+29   0.27511809791477987
IV-583                            M         0.0019664137298326468  5.616841879738308e+29   0.28239526796069925
IV-738                            M         0.0020164062127925237  6.520696927637272e+29   0.3278379551351067 
IV-876                            K         0.2860246506757133     1.444066806560351e+30   0.7260265493013329 
IV-942                            M         0.0019652032699089095  5.9287529987099055e+29  0.29807707384162424
IY-028                            G         1.0115822876984883     1.9442291175746116e+30  0.9774907579560642 
IY-112                            M         0.0019730415045542547  6.2885580825702e+29     0.31616682164757165
IY-206                            M         0.0019021143091003385  5.399819127571085e+29   0.27148411903323705
IY-387                            K         0.3081795571266562     1.7443180882136575e+30  0.8769824475684553 
IY-816 (Scorpius)                 G         0.9981338595910888     2.0705550245662915e+30  1.0410030289423287 
IY-964                            A         25.948727052977755     4.330485801959341e+30   2.1772175977673913 
IZ-054                            K         0.2871864123295562     1.5693026043148524e+30  0.7889907512895186 
IZ-257                            M         0.0020086631438500737  5.389071653088567e+29   0.2709437734081733 
IZ-437                            K         0.2907732834430926     1.5103197985441268e+30  0.7593362486395812 
IZ-455                            K         0.29503864790189793    1.4564956622652184e+30  0.732275345533041  
IZ-468                            K         0.2988665398208621     1.7250902191202768e+30  0.8673153439518737 
IZ-482                            M         0.002081944660492994   6.417954736975311e+29   0.32267243524259986
IZ-654                            M         0.0020723361654218877  6.406694345921221e+29   0.3221063019568236 
IZ-768                            G         0.9980092246909549     1.9093445492042013e+30  0.9599520106607348 
IZ-816                            G         0.9918099598370828     1.9410748532853845e+30  0.9759049036125614 
IZ-911                            K         0.29693427968954       1.7258442513970942e+30  0.8676944451468549 
JK-749                            M         0.0019280718198694579  6.048601678145768e+29   0.30410264847389484
JK-758                            M         0.0019377084406731965  5.680082466138169e+29   0.28557478462233127
JK-776                            K         0.30517933792097257    1.5151639071954424e+30  0.7617716979363713 
JK-782                            G         1.0361313290859666     1.9979791786812567e+30  1.0045144186431658 
JK-978                            M         0.0019422652976956044  5.896333208325876e+29   0.29644711957395053
JP-324                            M         0.0019755939014625716  6.263396292733603e+29   0.31490177439585737
JS-009                            M         0.001979938043958595   5.993588830485912e+29   0.30133679389069445
JS-299 (Neo Eden)                 G         1.018511098285579      2.1442831443151646e+30  1.0780709624510632 
JS-309                            G         1.0358797507237567     2.072097947671874e+30   1.041778756999434  
JS-367                            M         0.0020736754409109268  6.100344000438891e+29   0.306704072420256  
JS-570 (Neo Tokyo)                K         0.3033743011510635     1.4873125883673106e+30  0.7477690238146358 
JS-572                            G         0.9741044392904306     2.0238745290733816e+30  1.0175336998860642 
JS-601                            F         4.259393392619781      2.9821628828380286e+30  1.4993277440110753 
JS-637                            F         4.246570754619429      3.009297683219321e+30   1.5129701775863857 
JS-753                            K         0.30224913945526116    1.4454485549594014e+30  0.7267212443234798 
JS-761                            M         0.0019519184876614672  5.47750114572468e+29    0.27538970063975265
JS-829                            G         0.9776441932553495     1.971555693300306e+30   0.9912296095024163 
JS-869                            M         0.001997067807530572   5.3734503177870954e+29  0.2701583870179535 
JS-913                            M         0.0019783584757596504  5.4925685314297326e+29  0.27614723637153005
JS-952 (Ebisu)                    G         0.9881630006771259     1.9860886008456033e+30  0.9985362497966834 
JY-136                            K         0.2866826113238504     1.5172177972182792e+30  0.7628043223822419 
JY-143                            K         0.2991634059107109     1.688277208929084e+30   0.8488070432021539 
JY-313                            G         0.9797337437854227     2.043942340536764e+30   1.0276230973035516 
JY-327                            K         0.2989424175690475     1.4988639654971692e+30  0.7535766543474959 
JY-427                            M         0.0019590463438607553  6.067823265124342e+29   0.30506904299267684
JY-457                            A         24.139032960932248     4.4460488348912726e+30  2.2353186701313588 
KC-051                            K         0.302786948556004      1.6401693735628447e+30  0.824620097316664  
KC-220                            G         0.9561349657016702     1.9657142431442236e+30  0.9882927315958893 
KC-421                            K         0.3099339385030161     1.6440824024710323e+30  0.8265874321121329 
KC-424                            G         1.0360268659423488     2.134166302633581e+30   1.0729845664321676 
KC-452                            M         0.001907805246781667   5.4858153873177955e+29  0.27580771178068353
KC-544                            K         0.31051956080901233    1.6412703034072482e+30  0.8251736065395918 
KC-765                            K         0.29626544785080705    1.4418890891678227e+30  0.7249316687621029 
KC-832                            K         0.29887965398917127    1.6038953428459504e+30  0.8063827766947966 
KI-080                            K         0.31239287841373214    1.582902367348917e+30   0.7958282389888974 
KI-401 (Aureun)                   K         0.29560972887807685    1.5673643144785966e+30  0.788016246595574  
KI-439                            M         0.0020897107569314167  6.0726506645539084e+29  0.30531174784081994
KI-446                            K         0.2876770523091127     1.6534008352590183e+30  0.831272415917053  
KI-448                            K         0.31191684910525974    1.643800580402998e+30   0.8264457417812962 
KI-840                            F         4.2683767464999445     3.2716713745517457e+30  1.644882541252763  
KQ-187                            G         0.9671634841254785     2.0111916266073692e+30  1.0111571777814827 
KQ-205                            M         0.002029950068432871   6.447468376277442e+29   0.32415627834476834
KQ-451                            O         1591.1357672892611     1.666129274341786e+31   8.376718322482585  
KQ-520                            M         0.0020892887514585307  5.893954737410322e+29   0.29632753833133846
KQ-833                            M         0.0020214978165558413  6.41944278921981e+29    0.32274724933231824
KQ-966                            K         0.2870479292523031     1.6763963049866526e+30  0.8428337380526157 
KW-020 (Bastablon)                G         1.0066772168722553     1.9404385089528124e+30  0.9755849718214241 
KW-358 (Canopus)                  M         0.002016820067135022   6.175748701304534e+29   0.31049515843662817
KW-602                            F         4.46547492238394       2.801099192674698e+30   1.4082952200476109 
KW-626                            K         0.2927865011324942     1.6584296182806116e+30  0.8338007130621476 
KW-688 (New Antares)              K         0.28676317028440196    1.5210172422281915e+30  0.7647145511453954 
KW-689                            M         0.0019944033530296043  6.313787276375925e+29   0.3174352577363462 
KW-950                            M         0.0019916506878685535  6.196002703179675e+29   0.3115134591844985 
KW-976                            A         24.006015805767817     4.6010170468201236e+30  2.313231295535507  
LA-236                            K         0.31301963649384856    1.739245688360641e+30   0.8744322213980095 
LB-056                            K         0.29113094883161317    1.7205400556712556e+30  0.8650276800760461 
LB-428                            G         0.956739368969027      1.8365294657561547e+30  0.923343120038288  
LB-476                            K         0.29675071690268917    1.5428706945523316e+30  0.7757017066628112 
LB-506                            M         0.0019942922361274322  6.448530760118359e+29   0.32420969130811256
LB-599                            M         0.002046481267525989   5.988827892658876e+29   0.30109743050069765
LB-716                            K         0.2978763797719833     1.4688596896842373e+30  0.7384915483580882 
LE-137                            F         4.429469268402469      3.0439084058772896e+30  1.5303712447849622 
LG-093                            M         0.001965623390166974   6.261815519412318e+29   0.31482229861298733
LG-150                            M         0.0020217259965746495  5.388703333895186e+29   0.2709252556005624 
LG-262                            G         1.0156668387847771     1.8009424950784556e+30  0.9054512293003799 
LG-298                            M         0.0019241484327824471  6.059636761330272e+29   0.30465745406386485
LG-418 (Dolzena)                  K         0.3128716745101243     1.5910037501213713e+30  0.7999013323888242 
LG-430                            G         1.0100557288179766     1.936642141327313e+30   0.9736762902600871 
LG-598                            K         0.3133602630106393     1.5333522134058823e+30  0.7709161455032089 
LG-672                            M         0.002013344468028231   5.7510990128691346e+29  0.2891452495157936 
LG-758                            G         0.9557371221428224     1.9916047293338894e+30  1.0013095672870234 
LG-854                            K         0.29274860367961675    1.5942116972054735e+30  0.8015141765738932 
LG-907                            M         0.0020868124369823726  5.879332570061238e+29   0.2955923866295243 
LG-913                            K         0.29298055226897635    1.6511325395638865e+30  0.8301319957586157 
LS-014 (Metis)                    M         0.0019839286893497637  5.807814023229744e+29   0.29199668291753367
LS-123                            F         4.421815566442567      3.136190026898855e+30   1.576767233232205  
LS-227                            G         1.0257394105908595     1.898235433485094e+30   0.9543667337783278 
LS-231 (Styx)                     B         157.1067613479536      7.512879752752697e+30   3.7772145564367507 
LS-271                            K         0.30396841719985485    1.5743573745652287e+30  0.7915321139091146 
LS-300 (Antares V)                G         1.0247361730582676     2.098423694032969e+30   1.0550144263614727 
LS-436                            K         0.2922954619611829     1.468664111408885e+30   0.7383932184056738 
LS-483                            G         1.021187910234472      2.0626436003617902e+30  1.0370254401014531 
LS-621                            F         4.496063824947228      2.928316565887254e+30   1.4722556892344163 
LS-746 (New Benten)               M         0.00209312547584995    6.3086545605250126e+29  0.3171772026407749 
LS-763                            F         4.535951064074987      2.718004814055268e+30   1.3665182574435737 
LS-828                            M         0.0019341622000942848  6.197732564967044e+29   0.3116004306167443 
LS-923                            M         0.002075876769413852   6.155999717562846e+29   0.30950224824348144
LS-934                            M         0.001935718225595885   6.250042309372158e+29   0.3142303825727581 
LZ-088                            G         1.0381562955950354     2.071866332014276e+30   1.0416623087050156 
LZ-189                            M         0.0019532200165612297  5.4678173441753965e+29  0.27490283278910993
LZ-259                            M         0.001983289133158423   6.374258423454237e+29   0.3204755366241447 
LZ-270                            K         0.304749457502789      1.7242041888716217e+30  0.8668698787690406 
LZ-813                            A         24.840289737842415     4.3546157930701254e+30  2.1893493177828685 
MG-197                            G         0.9539961878424192     1.9216793423217155e+30  0.9661535154960863 
MG-483                            K         0.3094812405611842     1.644981466895487e+30   0.8270394504250815 
MG-594                            K         0.30588182825412324    1.519989289260117e+30   0.7641977321569217 
MG-623                            G         0.987044731549858      1.8632483425624715e+30  0.9367764417106443 
MG-630                            G         1.012181601653223      1.983520735263406e+30   0.9972452163214712 
MG-708                            K         0.29184220947654216    1.7367777770844287e+30  0.873191441470301  
MG-885                            G         0.9854212633714184     1.898034599135402e+30   0.9542657612546014 
NG-114                            G         1.0051756804292427     2.1139111864199548e+30  1.062800998702843  
NG-164                            G         1.0109712790071228     1.94532367010434e+30    0.9780410608870488 
NG-246                            M         0.0020818317492617825  5.406987649500833e+29   0.2718445273756075 
NG-574                            G         1.031320296963501      2.0057713226438987e+30  1.0084320375283553 
NG-848                            A         24.016364233090748     4.1538808402717255e+30  2.0884267673563226 
NH-000                            M         0.002042061965554712   5.693079848975506e+29   0.2862282478117399 
NH-555                            B         148.71200841893216     7.491761494765213e+30   3.7665970310534007 
NH-565                            K         0.31332934846516425    1.5575782948976315e+30  0.783096176419121  
